"Neue Inverkehrsetzungen von Strassenfahrzeugen nach Fahrzeuggruppe, Fahrzeugart"

"Monat","Fahrzeuggruppe / -art","Treibstoff","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"August","> Personenwagen","Benzin-elektrisch",0,158,392,288,347,355,420,467,492,344,507,731,979,1165
"August","> Personenwagen","Diesel-elektrisch",0,0,0,0,0,0,0,151,63,38,56,32,21,90
"August","> Personenwagen","Elektrisch",1,1,1,1,3,19,23,56,113,128,264,294,337,334
"August","> Personenwagen","Gas (mono- und bivalent)",22,78,110,94,84,49,50,23,53,94,66,54,62,61
"August","> Personenwagen","Anderer",55,27,381,91,23,16,38,20,3,2,0,0,1,0
"August","> Personenwagen","Ohne Motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"September","> Personenwagen","Benzin",14803,13295,13474,14482,14377,15016,17958,12201,13526,13179,13774,14518,14409,12680
"September","> Personenwagen","Diesel",6094,6030,6671,6777,6101,6931,8839,8322,8416,7818,9508,9969,8361,5885
"September","> Personenwagen","Benzin-elektrisch",0,187,329,252,482,318,547,514,462,524,527,1080,1196,1233
"September","> Personenwagen","Diesel-elektrisch",0,0,0,0,0,0,1,88,82,78,79,45,19,98
"September","> Personenwagen","Elektrisch",0,2,0,0,3,9,49,107,135,134,318,482,562,546
"September","> Personenwagen","Gas (mono- und bivalent)",31,64,127,96,107,48,40,60,79,88,66,86,59,18
"September","> Personenwagen","Anderer",65,26,89,88,33,27,30,25,6,0,1,0,0,2
"September","> Personenwagen","Ohne Motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oktober","> Personenwagen","Benzin",14129,13877,15448,15997,15621,16251,17855,15207,15598,15688,14201,12994,14799,14680
"Oktober","> Personenwagen","Diesel",6317,6853,8265,7813,6764,8069,9294,10538,10158,9670,10188,9105,8313,5996
"Oktober","> Personenwagen","Benzin-elektrisch",0,149,261,212,345,352,500,626,520,624,609,843,1020,1400
"Oktober","> Personenwagen","Diesel-elektrisch",0,0,0,1,0,0,1,100,69,68,92,40,15,126
"Oktober","> Personenwagen","Elektrisch",0,0,1,1,18,15,16,95,125,126,267,211,366,453
"Oktober","> Personenwagen","Gas (mono- und bivalent)",33,185,159,116,100,28,28,41,58,224,85,150,101,11
"Oktober","> Personenwagen","Anderer",74,25,88,124,46,21,35,24,9,1,5,11,0,0
"Oktober","> Personenwagen","Ohne Motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"November","> Personenwagen","Benzin",14324,14475,15813,13166,15012,16223,18239,15634,14809,13544,14149,14643,16208,14777
"November","> Personenwagen","Diesel",6145,7101,8416,6790,6525,8449,10591,10473,9289,9347,10953,10396,8513,7164
"November","> Personenwagen","Benzin-elektrisch",0,232,238,165,375,387,481,526,487,492,522,921,1038,1370
"November","> Personenwagen","Diesel-elektrisch",0,0,0,0,0,3,8,86,82,57,76,43,51,142
"November","> Personenwagen","Elektrisch",2,0,4,1,6,16,55,60,176,161,420,176,725,518
"November","> Personenwagen","Gas (mono- und bivalent)",37,140,122,82,74,48,43,63,97,92,69,91,52,14
"November","> Personenwagen","Anderer",90,25,88,57,41,16,45,27,4,2,2,0,0,1
"November","> Personenwagen","Ohne Motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dezember","> Personenwagen","Benzin",14202,15078,13705,15391,16001,18252,18763,17073,17479,18789,16990,20014,17901,16015
"Dezember","> Personenwagen","Diesel",6790,7157,8371,8052,7760,9721,11171,11068,11215,12416,13633,13342,11064,8749
"Dezember","> Personenwagen","Benzin-elektrisch",0,201,199,225,322,381,520,416,631,699,831,955,1159,1542
"Dezember","> Personenwagen","Diesel-elektrisch",0,0,0,0,0,0,4,51,76,69,169,35,34,208
"Dezember","> Personenwagen","Elektrisch",4,2,5,7,7,26,27,91,273,293,392,564,549,762
"Dezember","> Personenwagen","Gas (mono- und bivalent)",55,71,93,102,72,68,51,44,42,115,107,98,88,24
"Dezember","> Personenwagen","Anderer",80,33,199,79,47,22,54,15,1,1,11,0,1,3
"Dezember","> Personenwagen","Ohne Motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
